,name,description,duration,film_date,languages,num_speaker,published_date,url
0,Ken Robinson: Do schools kill creativity?,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,1164,1140825600,60,1,1151367060,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
"
1,Al Gore: Averting the climate crisis,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",977,1140825600,43,1,1151367060,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
"
2,David Pogue: Simplicity sells,"New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",1286,1140739200,26,1,1151367060,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
"
3,Majora Carter: Greening the ghetto,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",1116,1140912000,35,1,1151367060,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
"
4,Hans Rosling: The best stats you've ever seen,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""",1190,1140566400,48,1,1151440680,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
"
5,Tony Robbins: Why we do what we do,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",1305,1138838400,36,1,1151440680,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
"
6,Julia Sweeney: Letting go of God,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ",992,1140739200,31,1,1152490260,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
"
7,Joshua Prince-Ramus: Behind the design of Seattle's library,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.",1198,1140652800,19,1,1152490260,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
"
8,Dan Dennett: Let's teach religion -- all religion -- in schools,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.",1485,1138838400,32,1,1153181460,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
"
9,Rick Warren: A life of purpose,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.",1262,1140825600,31,1,1153181460,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
"
10,Cameron Sinclair: My wish: A call for open-source architecture,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",1414,1140912000,27,1,1153786260,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
"
11,Jehane Noujaim: My wish: A global day of film,Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,1538,1140912000,20,1,1153786260,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
"
