,title,main_speaker,website_link,event
0,Do schools kill creativity?,Ken Robinson,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",TED2006
1,Averting the climate crisis,Al Gore,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",TED2006
2,Simplicity sells,David Pogue,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
",TED2006
3,Greening the ghetto,Majora Carter,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",TED2006
4,The best stats you've ever seen,Hans Rosling,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",TED2006
5,Why we do what we do,Tony Robbins,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",TED2006
6,Letting go of God,Julia Sweeney,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
",TED2006
7,Behind the design of Seattle's library,Joshua Prince-Ramus,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
",TED2006
8,Let's teach religion -- all religion -- in schools,Dan Dennett,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
",TED2006
9,A life of purpose,Rick Warren,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
",TED2006
10,My wish: A call for open-source architecture,Cameron Sinclair,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
",TED2006
11,My wish: A global day of film,Jehane Noujaim,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
",TED2006
12,My wish: Help me stop pandemics,Larry Brilliant,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
",TED2006
13,The radical promise of the multi-touch interface,Jeff Han,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
",TED2006
14,One Laptop per Child,Nicholas Negroponte,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
",TED2006
15,An 11-year-old's magical violin,Sirena Huang,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
",TED2006
16,"Improvising on piano, aged 14",Jennifer Lin,"https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
",TED2004
17,Simple designs to save a life,Amy Smith,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
",TED2006
18,"Organic design, inspired by nature",Ross Lovegrove,"https://www.ted.com/talks/ross_lovegrove_shares_organic_designs
",TED2005
19,The birth of Wikipedia,Jimmy Wales,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia
",TEDGlobal 2005
20,The birth of the open-source learning revolution,Richard Baraniuk,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning
",TED2006
21,Nerdcore comedy,Ze Frank,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy
",TED2004
22,Meet the founder of the blog revolution,Mena Trott,"https://www.ted.com/talks/mena_trott_tours_her_blog_world
",TED2006
23,"Why we love, why we cheat",Helen Fisher,"https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat
",TED2006
24,Happiness in body and soul,Eve Ensler,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul
",TED2004
25,Chemical scum that dream of distant quasars,David Deutsch,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos
",TEDGlobal 2005
26,Why the universe seems so strange,Richard Dawkins,"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe
",TEDGlobal 2005
27,The freakonomics of crack dealing,Steven Levitt,"https://www.ted.com/talks/steven_levitt_analyzes_crack_economics
",TED2004
28,"Choice, happiness and spaghetti sauce",Malcolm Gladwell,"https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce
",TED2004
29,The surprising science of happiness,Dan Gilbert,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy
",TED2004
30,The paradox of choice,Barry Schwartz,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
",TEDGlobal 2005
31,Meet the future of cancer research,Eva Vertes,"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine
",TED2005
32,A roadmap to end aging,Aubrey de Grey,"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging
",TEDGlobal 2005
33,How mobile phones can fight poverty,Iqbal Quadir,"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty
",TEDGlobal 2005
